Parametry
Precyzja: 10^-3
Iteracje: 103
;real;bin;f(real)
27;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
28;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
29;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
30;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
31;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
32;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
33;-2.001;[0 0 0 1 1 1 1 1 1 1 1 1 1 1];1.9050006462842517
34;4.999;[1 0 0 0 1 1 1 1 1 1 1 1 1 0];1.955276951581729
35;4.999;[1 0 0 0 1 1 1 1 1 1 1 1 1 0];1.955276951581729
36;4.999;[1 0 0 0 1 1 1 1 1 1 1 1 1 0];1.955276951581729
37;4.999;[1 0 0 0 1 1 1 1 1 1 1 1 1 0];1.955276951581729
38;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
39;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
40;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
41;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
42;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
43;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
44;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
45;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
46;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
47;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
48;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
